,Lag,Mean(95% CI) [C],P-value [C],d [C],Lag,Mean(95% CI) [R],P-value [R],d [R],Lag,Mean(95% CI) [R.C],P-value [R.C],d [R.C]
0,t-30,0.034 (-0.019–0.084),0.034 (ns),0.034 (^^^),t-30,-0.001 (-0.087–0.088),-0.001 (ns),-0.001 (neg),t-30,-0.046 (-0.138–0.034),-0.046 (ns),-0.046 (^^^)
1,t-29,0.049 (-0.013–0.109),0.049 (ns),0.049 (^^^),t-29,-0.011 (-0.093–0.076),-0.011 (ns),-0.011 (^),t-29,-0.031 (-0.122–0.056),-0.031 (ns),-0.031 (^^)
2,t-28,0.032 (-0.015–0.078),0.032 (ns),0.032 (^^^),t-28,-0.069 (-0.165–0.019),-0.069 (ns),-0.069 (^^^),t-28,-0.008 (-0.090–0.082),-0.008 (ns),-0.008 (neg)
3,t-27,0.076 (0.016–0.134),0.076 (**),0.076 (^^^),t-27,0.006 (-0.091–0.096),0.006 (ns),0.006 (neg),t-27,0.002 (-0.081–0.086),0.002 (ns),0.002 (neg)
4,t-26,-0.003 (-0.064–0.052),-0.003 (ns),-0.003 (neg),t-26,0.092 (0.015–0.175),0.092 (**),0.092 (^^^),t-26,0.058 (-0.026–0.155),0.058 (ns),0.058 (^^^)
5,t-25,0.079 (0.018–0.139),0.079 (*),0.079 (^^^),t-25,0.034 (-0.044–0.119),0.034 (ns),0.034 (^^^),t-25,-0.007 (-0.097–0.082),-0.007 (ns),-0.007 (neg)
6,t-24,0.013 (-0.053–0.075),0.013 (ns),0.013 (^),t-24,-0.044 (-0.135–0.044),-0.044 (ns),-0.044 (^^^),t-24,0.023 (-0.075–0.121),0.023 (ns),0.023 (^)
7,t-23,0.043 (-0.017–0.105),0.043 (ns),0.043 (^^^),t-23,-0.018 (-0.109–0.070),-0.018 (ns),-0.018 (^),t-23,-0.046 (-0.141–0.034),-0.046 (ns),-0.046 (^^^)
8,t-22,0.040 (-0.024–0.105),0.040 (ns),0.040 (^^^),t-22,-0.041 (-0.120–0.039),-0.041 (ns),-0.041 (^^^),t-22,0.004 (-0.095–0.110),0.004 (ns),0.004 (neg)
9,t-21,-0.006 (-0.063–0.047),-0.006 (ns),-0.006 (^),t-21,0.021 (-0.070–0.110),0.021 (ns),0.021 (^),t-21,0.094 (0.004–0.197),0.094 (*),0.094 (^^^)
10,t-20,0.035 (-0.017–0.093),0.035 (ns),0.035 (^^^),t-20,0.024 (-0.075–0.121),0.024 (ns),0.024 (^),t-20,-0.005 (-0.095–0.078),-0.005 (ns),-0.005 (neg)
11,t-19,0.013 (-0.044–0.069),0.013 (ns),0.013 (^),t-19,-0.048 (-0.148–0.046),-0.048 (ns),-0.048 (^^^),t-19,0.021 (-0.054–0.098),0.021 (ns),0.021 (^^)
12,t-18,0.015 (-0.036–0.070),0.015 (ns),0.015 (^^),t-18,-0.030 (-0.131–0.065),-0.030 (ns),-0.030 (^^),t-18,0.030 (-0.059–0.123),0.030 (ns),0.030 (^^)
13,t-17,0.046 (-0.003–0.095),0.046 (*),0.046 (^^^),t-17,-0.011 (-0.103–0.073),-0.011 (ns),-0.011 (^),t-17,0.064 (-0.011–0.147),0.064 (ns),0.064 (^^^)
