model,alpha,alpha_h,alpha_r,gamma,intercept,kappa,tau,theta,theta_h,theta_r,weight,weight_b,weight_h,weight_r
 Long-Term Omission Sensitive Q Learning ,0.218,,,0.941,-8.193,,,0.099,,,1.137,,,
Differential Extinction Immediate Q Learning,0.051,,,,-3.883,,0.024,,,,3.785,,,
Differential Extinction Long-Term Q Learning,0.222,,,0.945,-7.937,,0.219,,,,1.099,,,
Differential Forgetting Immediate Omission Sensitive Q Learning ,0.175,,,,-4.081,0.039,,0.564,,,3.727,,,
Differential Forgetting Immediate Q-Learning,0.041,,,,-4.189,0.317,,,,,6.719,,,
Differential Forgetting Long-Term Omission Sensitive Q Learning ,0.293,,,0.819,-4.631,0.031,,0.203,,,1.354,,,
Differential Forgetting Long-Term Q Learning,0.292,,,0.876,-4.247,0.038,,,,,1.151,,,
Expected SARSA,0.173,,,0.97,-6.963,,,,,,1.399,,,
Forgetting Immediate Habit-Value Arbiter Q-Learning,,0.081,0.178,,-4.742,,,,0.972,0.345,5.662,-3.195,-3.303,0.986
Forgetting Immediate Omission Sensitive Q Learning ,0.094,,,,-4.278,,,0.29,,,3.391,,,
Forgetting Immediate Q-Learning,0.071,,,,-3.942,,,,,,3.815,,,
Forgetting Long-Term Habit-Value Arbiter Q-Learning,,0.02,0.205,0.708,-3.795,,,,0.667,0.906,2.97,0.473,1.791,-0.865
Forgetting Long-Term Omission Sensitive Q Learning ,0.172,,,0.791,-3.822,,,0.052,,,1.448,,,
Forgetting Long-Term Q Learning,0.177,,,0.818,-3.694,,,,,,1.426,,,
Forgetting RPE-free Q-Learning,0.416,,,,-3.408,,,,,,0.579,,,
Immediate Habit-Value Arbiter Q Learning,,0.095,0.34,,-4.742,,,,0.971,0.214,5.616,-2.36,-2.704,0.508
Immediate Omission Sensitive Q Learning ,0.052,,,,-5.133,,,0.41,,,5.033,,,
Immediate Q-Learning,0.031,,,,-2.903,,,,,,5.538,,,
Long-Term Habit-Value Arbiter Q-Learning,,0.068,0.374,0.875,-6.301,,,,0.95,0.304,4.142,-1.499,-2.028,-0.255
Long-Term Q Learning,0.216,,,0.952,-7.83,,,,,,1.089,,,
RPE-free Q-Learning,0.363,,,,-2.164,,,,,,0.501,,,
SARSA,0.23,,,0.963,-6.704,,,,,,1.082,,,
