Model,$\alpha$,$\kappa$,$\tau$,$\gamma$,$\Theta$,$m$,$c$
Forgetting Long-Term Habit-Value Arbiter Q-Learning,-,-,-,0.71 (0.64–0.78) [N=11944; R=1.0],-,2.97 (2.19–3.85) [N=9267; R=1.0],-3.8 (-4.31–-3.29) [N=19305; R=1.0]
Long-Term Habit-Value Arbiter Q-Learning,-,-,-,0.88 (0.84–0.91) [N=9068; R=1.0],-,4.14 (3.27–5.11) [N=8158; R=1.0],-6.3 (-7.16–-5.47) [N=9067; R=1.0]
Forgetting Immediate Habit-Value Arbiter Q-Learning,-,-,-,-,-,5.66 (4.81–6.56) [N=14200; R=1.0],-4.74 (-5.56–-4.0) [N=22256; R=1.0]
Differential Forgetting Immediate Q-Learning,0.04 (0.04–0.05) [N=11950; R=1.0],0.32 (0.27–0.36) [N=13457; R=1.0],-,-,-,6.72 (5.99–7.46) [N=11113; R=1.0],-4.19 (-4.78–-3.62) [N=13741; R=1.0]
Forgetting Immediate Q-Learning,0.07 (0.06–0.08) [N=11051; R=1.0],-,-,-,-,3.82 (3.57–4.07) [N=8967; R=1.0],-3.94 (-4.77–-3.2) [N=8747; R=1.0]
Immediate Q-Learning,0.03 (0.03–0.03) [N=10053; R=1.0],-,-,-,-,5.54 (4.95–6.12) [N=8273; R=1.0],-2.9 (-3.2–-2.62) [N=9349; R=1.0]
Forgetting RPE-free Q-Learning,0.42 (0.36–0.47) [N=8851; R=1.0],-,-,-,-,0.58 (0.52–0.64) [N=8163; R=1.0],-3.41 (-3.78–-3.05) [N=11053; R=1.0]
RPE-free Q-Learning,0.36 (0.05–0.83) [N=1916; R=1.0],-,-,-,-,0.5 (0.1–1.29) [N=1900; R=1.0],-2.16 (-2.31–-2.02) [N=5121; R=1.0]
Immediate Habit-Value Arbiter Q Learning,-,-,-,-,-,5.62 (4.74–6.5) [N=14355; R=1.0],-4.74 (-5.54–-3.98) [N=22976; R=1.0]
Differential Extinction Long-Term Q Learning,0.22 (0.19–0.25) [N=4883; R=1.0],-,0.22 (0.19–0.25) [N=4862; R=1.0],0.94 (0.92–0.97) [N=7498; R=1.0],-,1.1 (0.98–1.23) [N=5685; R=1.0],-7.94 (-8.67–-7.24) [N=5623; R=1.0]
