Model,Rank,WAIC,pWAIC,SE,p-val,significance,effect_size,effect,Test Mean,Test SE,Test p-value,Test Significance,Test Effect Size,Test Effect
RF-QL,21,17107.33624112061,2.360930264584234,82.81650377662422,5.1246812922967696e-86,****,19.656118535500465,^^^,0.5433008521349777,0.01476710029522213,2.501526553342661e-05,****,0.7118808761256569,^^
I-QL,20,16784.690360853012,2.9514242712574674,88.08651764682104,1.2418256616765204e-60,****,16.426209603837346,^^^,0.5455457708328927,0.01604255106938133,9.178522589767491e-07,****,0.8630567405740892,^^^
DE-I-QL,19,16770.18991533608,3.203913745947363,88.6000496649983,9.198603270462054e-61,****,16.444403186792318,^^^,0.5463685109499697,0.01624517958186061,1.3192110296583414e-06,****,0.8466526284309265,^^^
I-OS-QL,18,16523.213942804417,3.4471892354490112,89.73835384284942,3.132622273143744e-47,****,14.434643281591432,^^^,0.5546635075885725,0.016106583624970538,9.216896988412259e-06,****,0.7581171620918933,^^
F-I-QL,17,16219.740766878229,2.5555280283153503,94.7385234468062,6.3940776157875905e-24,****,10.085649694103257,^^^,0.5611434715425143,0.01573977012864264,0.00017086894350031552,***,0.6206239784179974,^^
F-I-OS-QL,16,16045.22417324255,3.169590909637175,95.74502594202706,3.804468930666361e-16,****,8.144628897954336,^^^,0.5677784653946764,0.015913243032447837,0.0008411185319686051,***,0.541300280298588,^^
SARSA,15,16030.148720430336,4.613859394938119,90.81394511724562,6.881300371870088e-11,****,6.523221761930649,^^^,0.5686818219135479,0.016792627010172582,0.0003272739486729645,***,0.5887765058112168,^^
ESARSA,14,16017.43593996567,4.485690169388348,91.60241526045122,1.970288986280021e-11,****,6.7082080427336335,^^^,0.5687672491818035,0.016557604803391766,0.0014867107970420713,**,0.511794939916466,^^
DF-I-OS-QL,13,16001.247162449148,4.52696518820402,95.18759262261696,1.683035783958009e-13,****,7.371828393872811,^^^,0.5688552119881102,0.015941302264213367,0.00044813036311192945,***,0.573144475654703,^^
LT-QL,12,15960.573166990178,4.539467697682753,92.42672513066309,5.920296996492993e-08,****,5.4211918819209775,^^^,0.5705375810735236,0.016607586707900957,0.005297552202547096,**,0.44286223834353217,^
DE-LT-QL,11,15960.117695350107,5.495159534265676,92.6001541612118,4.898697999620457e-08,****,5.454948721414418,^^^,0.5706274245088443,0.016602674692144454,0.006156804787100781,**,0.4345328780765383,^
LT-OS-QL,10,15947.446766564814,5.662733661446508,92.89012142654003,9.588646620559201e-08,****,5.334351794404425,^^^,0.5711305166192596,0.016570076176542107,0.010995663784102098,*,0.40073209883132105,^
F-RF-QL,9,15932.563616639787,3.957857157296915,93.40244470770868,1.220201965589886e-05,****,4.373946675701394,^^^,0.5721850290503765,0.016708055591321803,0.0055559971834497,**,0.4401861008026692,^
F-LT-QL,8,15917.800281765063,4.087531084827071,93.6403740679585,3.379438712691748e-05,****,4.146264194200996,^^^,0.5717625043571599,0.016669133135921124,0.003728578917843564,**,0.46250762201638934,^
F-LT-OS-QL,7,15916.317730472423,5.100644567943555,93.7371971215113,2.4022624172686425e-05,****,4.223791561144523,^^^,0.5720148561604196,0.01668360427692252,0.006534907786136937,**,0.43099586802443857,^
DF-I-QL,6,15909.12945232432,3.456613481915106,92.11745544581146,7.6256350479965e-05,****,3.95587085424442,^^^,0.5715568786850634,0.016646625187638774,0.006784846427839154,**,0.42882224839788236,^
I-HV-QL,5,15873.049976880442,6.671555556336026,94.74194257278734,0.0005521863725598,***,3.454073738221697,^^^,0.5725064825456506,0.0162493030008593,0.015410451547852538,*,0.38037417836024384,^
F-I-HV-QL,4,15859.944903822903,5.964888910836587,94.04976829957606,0.001635786001376,**,3.14944910194572,^^^,0.5727573807968929,0.01645295850562926,0.019163817208187054,*,0.366929957249791,^
F-LT-HV-QL,3,15857.812113670318,6.685865050806935,94.1238620130954,0.0195486185730666,*,2.334900512694725,^^^,0.5732367911220668,0.016690599869695063,0.1596051855501613,ns,0.21576689036711127,^
DF-LT-QL,2,15833.8060330602,5.340234519426697,93.27776921939586,0.0802645631317191,ns,1.7491530736544798,^^^,0.5736263994293203,0.016929505376220847,0.08306787029772619,ns,0.26753274310135455,^
DF-LT-OS-QL,1,15802.582629562725,6.0364049688540025,93.85762139865469,0.5244709244041836,ns,0.6364687785420391,^^,0.5747080291956033,0.016997823290379098,0.5688723897167067,ns,0.08657340205190443,neg
LT-HV-QL,0,15790.488171360592,9.375612590242511,93.95228527873968,,ns,,,0.5756713093640141,0.016984152880579518,,ns,,
