Model,Rank,WAIC,pWAIC,dWAIC,Weight,SE,dSE,Warning,Scale,p-val,significance,effect_size,effect
RF-QL,23,4737.380874767324,1.9386000277767268,253.20741385130626,0.0,30.13091219138578,33.0073228851278,False,deviance,1.7032867086518407e-14,****,7.671249641557408,^^^
I-QL,22,4646.981108695689,2.5220106215630698,162.8076477796713,2.4885895381307104e-12,34.62546404046249,26.739020424581607,False,deviance,1.1378403292052166e-09,****,6.088766349495722,^^^
DE-I-QL,21,4643.346046592716,4.065227837210908,159.17258567669842,2.885596671796993e-12,34.63655159977149,26.350671070512846,False,deviance,1.535883507520893e-09,****,6.040551500596017,^^^
SARSA,20,4582.40906100848,3.441893544821387,98.23560009246253,2.4272225332039556e-12,35.70499879911977,20.405965777364464,False,deviance,1.4789232188594749e-06,****,4.814062767929927,^^^
ESARSA,19,4562.06593031664,3.7054245155568153,77.89246940062282,9.363452755810462e-13,36.08680008889647,19.819944687435136,False,deviance,8.494431478836175e-05,****,3.9300043783675536,^^^
I-OS-QL,18,4558.2243453028805,2.8981811587973167,74.05088438686263,0.1423887076196843,36.63406184627421,22.875808447265218,False,deviance,0.0012075839928162744,**,3.2370827268277527,^^^
DE-LT-QL,17,4553.607031416706,4.356412809557067,69.43357050068914,0.0,36.16230519988921,19.595143947080885,False,deviance,0.0003949925761809923,***,3.5434070139113603,^^^
LT-QL,16,4551.504777130653,3.677734745355652,67.33131621463534,0.0,36.239152348371384,19.547669398770136,False,deviance,0.0005721849573257383,***,3.444467718431516,^^^
F-I-QL,15,4535.540407429029,2.6877889278165368,51.36694651301155,2.1074244601865984e-12,39.25429098748379,12.866137591270256,False,deviance,6.54040847958577e-05,****,3.9924138964489466,^^^
LT-OS-QL,14,4534.487898942287,4.142379470904212,50.31443802626883,0.07228353031535781,37.086269538904496,20.157931405195225,False,deviance,0.012559836409137472,*,2.4960119674433208,^^^
F-RF-QL,13,4526.0667154134935,3.5814270890476,41.89325449747656,1.8820753258675163e-12,40.08605061761777,10.819772345073567,False,deviance,0.00010798297057264311,***,3.8719164471654803,^^^
DF-I-QL,12,4520.778474138851,3.4560183599597227,36.60501322283442,1.60883704806283e-12,39.17261018140947,10.256549830882093,False,deviance,0.0003584281898111419,***,3.568940221264082,^^^
F-LT-QL,11,4517.938554957613,4.1927641505458,33.765094041594956,2.2679715091030056e-12,39.88019022942578,8.747795007555492,False,deviance,0.00011346102733187059,***,3.8598405669579545,^^^
F-LT-OS-QL,10,4509.5030978495815,4.154264894075295,25.329636933563403,1.0500085698529796e-12,40.09791304168165,7.658803114771974,False,deviance,0.0009421411753108997,***,3.3072578775016,^^^
DF-LT-QL,9,4508.366247284732,5.522368394479241,24.19278636871428,2.2276812671025153e-12,40.08116219712911,6.638679089363829,False,deviance,0.0002682071948917524,***,3.644216875533989,^^^
F-I-OS-QL,8,4507.969856126795,3.5323766273564736,23.79639521077803,7.670843263910014e-13,40.06259963942052,7.6144021659871415,False,deviance,0.0017769487297445426,**,3.125182344199577,^^^
F-I-HV-QL,7,4504.069452882919,12.365465268757532,19.895991966902187,7.897285094552006e-13,39.84321244441423,9.747326142752422,False,deviance,0.04123350168084401,*,2.041174335968614,^^^
F-LT-HV-QL,6,4501.679001299231,9.826688735530768,17.505540383213344,8.229102876925587e-13,40.21520492518646,10.329231520799167,False,deviance,0.09012147336365076,ns,1.694757286441281,^^^
DF-I-HV-QL,5,4498.552603392892,9.15303957552148,14.379142476874229,0.0,40.03560339432453,7.895958191707217,False,deviance,0.06859525649058677,ns,1.8210763187647092,^^^
I-HV-QL,4,4493.563855956963,5.930756579478867,9.390395040945899,0.04314589975758752,40.23928081297325,6.5167774563604555,False,deviance,0.14959687683048703,ns,1.4409568385338611,^^^
LT-HV-QL,3,4493.279118946258,11.564117732788176,9.105658030239807,6.998964954935223e-13,39.84759252519098,5.570729588614161,False,deviance,0.10214258874757212,ns,1.6345539458333385,^^^
DF-I-OS-QL,2,4487.811473853082,4.274277060018122,3.6380129370652075,0.0,40.4040876618558,3.6938750292465237,False,deviance,0.32468444170455746,ns,0.9848771028421308,^^^
DF-LT-HV-QL,1,4485.671172769733,9.77148601441409,1.4977118537153746,0.41710314615630334,40.65201199117223,9.199814700412318,False,deviance,0.8706774470735701,ns,0.16279804566588174,neg
DF-LT-OS-QL,0,4484.173460916018,5.218600309662495,0.0,0.3250787161309331,40.67727118527167,0.0,False,deviance,,ns,,^^^
