Model,Test NLL,Test SE,Test p-value,Test d,Training NLL,Training SE,Training p-value,Training d
asymFFqN(2),0.5056677065183226,0.05578850893798698,0.04747094825665175,2.5550215968596395,0.4627573372551107,0.011527826174516677,1.4113430205204945e-12,4.298165101918866
asymFFqN(2x2),0.514463544404612,0.05346929918953468,0.04829638890729768,2.533204226450115,0.47197304374679516,0.010973835304100073,7.0236716988112125e-12,3.9338541138438186
asymFFqN(5),0.47204422669489254,0.06921347587509993,0.044758491007787074,2.6365733250390857,0.4233312814378929,0.01564883916524098,5.171888886830027e-13,4.558722495234481
asymFFqN(5x5),0.4288486616883392,0.06890049584001753,0.033967837800593224,3.052919932599672,0.3820803887908545,0.01962304536962542,1.0384427700827905e-11,4.485744547588983
asymFFqN(10),0.4530937515320495,0.06279522814685741,0.03438534722765737,3.0343995984819614,0.41699925447017083,0.015163561304235454,3.982169045114701e-13,4.662946114269863
asymFFqN(10x10),0.45010685628399766,0.06460772067462064,0.03447382696787148,3.048966848920988,0.41176175389193376,0.015313087101942199,6.687076544531322e-13,4.48971568767116
asymFFqN(10x10x10),0.4191707102277302,0.0700916383342971,0.03277195477743585,3.1105407771841667,0.3686026530160412,0.018221047085612587,3.5128916047007806e-13,4.668405863462729
asymFFqN(100x100),0.3926994335688285,0.07076112036999954,0.03022547209133016,3.2496385371597687,0.3446871459708038,0.019793695023757676,5.8827281190502325e-12,3.9427174741553177
asymFFqN(100x100x100),0.3347284464558491,0.06725665808740466,0.024021766304433527,3.66971554162999,0.28891745619263826,0.0203241322174882,2.796329054900941e-12,4.223918162593782
symFFqN(2),0.5091498095828707,0.06157441162976149,0.03260310761839691,3.1192511878195184,0.4622763510344996,0.01061977855998211,4.583299684697637e-13,4.602986730083042
symFFqN(2x2),0.5043208122001566,0.06089515180009618,0.04858468671701748,2.5311093655967722,0.4627248819979895,0.011527418825724826,4.012297165512655e-12,4.0739619256955155
symFFqN(5),0.47338765332274446,0.06919171478082178,0.04236294319766379,2.7298228649422787,0.4256716327680235,0.016011169773810938,9.885078840821814e-13,4.4324699388116855
symFFqN(5x5),0.43830404530322703,0.07031501567548501,0.03130788780828174,3.18608490180055,0.3920851156893765,0.015478653635231432,1.845159244814351e-11,4.379990592312597
symFFqN(10),0.46565802696205244,0.07294163456647247,0.03980810748991754,2.80660330640175,0.4213631317921353,0.016038805875784143,1.3956388370223652e-12,4.324053125899353
symFFqN(10x10),0.4423611260588608,0.07146064436542789,0.02826991609828666,3.3622140621821535,0.396103989740204,0.01852563450993357,3.337337737013326e-11,3.749656300263812
symFFqN(10x10x10),0.46184225813172675,0.07018200388679091,0.03535008029800372,2.996359363813466,0.41267835932533353,0.01525437309693336,1.8005048251185183e-12,4.223228308029375
symFFqN(100x100),0.4093586588937766,0.07444682878302915,0.04670534965376177,2.580730664632694,0.36438463253777786,0.018941473297092563,1.146048651437633e-12,4.403250947420491
symFFqN(100x100x100),0.41413927790135374,0.07679041212154956,0.037713723556265476,2.8943588835014573,0.3646745973133199,0.02027470773666522,7.696146510823211e-12,3.8594333970872037
asymRqN(2),0.7251020062435253,0.0405097085880703,0.867333947198031,0.10938503786295005,0.6820118332301397,0.010026079322699994,0.5301045064432308,0.151404586331643
asymRqN(3),0.7289922654490649,0.04112578260044322,,,0.6854640476183296,0.010298020107785185,,
asymRqN(5),0.7198110466097398,0.045063638350436586,0.820449680745406,0.15051559688325247,0.6791378607516754,0.009402850955705429,0.45990992249588947,0.17823691546956918
asymRqN(10),0.7177711596409165,0.043571337181292503,0.8596978622367167,0.11582506275059931,0.6804733132810095,0.010822579961329286,0.6648211122429488,0.10443911814132775
asymRqN(100),0.7131410487908348,0.04080964234013826,0.7154813762063194,0.2456318415321395,0.6841636850253081,0.011951019855148352,0.20834904573351706,0.30826197368393377
asymRqN(200),0.6693709603072319,0.056972752272146016,0.854714713502938,0.11991102889744346,0.6615381514924088,0.017978385814230894,0.6032094177088324,0.1258860401012583
symRqN(2),0.7266656311790027,0.04686770794383006,0.8199841741173521,0.14958449847219493,0.6845745186780221,0.009701079859102287,0.6464478545846465,0.11011114959015644
symRqN(3),0.7244972808068025,0.045262683544126034,0.8775474694211204,0.10227849954038837,0.6805753880594961,0.009636000305807742,0.3560678135725559,0.22373941014328458
symRqN(5),0.7080871920915426,0.04865442092795102,0.6831932596613839,0.27287812179060583,0.6684862090621763,0.01170618048376653,0.6841215329538105,0.09762211596682961
symRqN(10),0.717805356735857,0.04699560881680466,0.826033300970436,0.1442827604963251,0.6769624031804999,0.01086480072546365,0.3524548419369509,0.2254956613904461
symRqN(100),0.6964364330958374,0.06586995029332075,0.7100629377763827,0.24821277237488337,0.6518862716201436,0.023916395149684314,0.44376153743164165,0.19206392966146554
symRqN(200),0.7162194263646843,0.04025328974861639,0.9410944791376741,0.04818152124284137,0.6789804475627672,0.012589500722229075,0.745656619698641,0.07874106924815633
