Model,Mean,95% CI,p,d
RF-QL,0.0005,(0.0003–0.0010),0.0908286779794827,0.577484
I-QL,0.0002,(0.0000–0.0006),3.175851557402024e-05,0.912213
DE-I-QL,0.0001,(0.0000–0.0005),1.8107761770659977e-05,0.937707
SARSA,0.0001,(0.0000–0.0008),2.4026728235592475e-05,0.923446
ESARSA,0.0002,(0.0000–0.0008),7.167853207417968e-05,0.891955
I-OS-QL,0.0001,(0.0000–0.0005),1.5697308240965883e-05,0.939428
DE-LT-QL,0.0001,(0.0000–0.0011),3.175851557402024e-05,0.926866
LT-QL,0.0002,(0.0000–0.0008),5.4738556327996396e-05,0.894374
F-I-QL,0.0008,(0.0000–0.0026),0.5383194571797153,0.3853665
LT-OS-QL,0.0002,(0.0000–0.0006),3.646023071889957e-05,0.916433
F-RF-QL,0.0024,(0.0002–0.0079),0.7637449284635762,-0.3205795
DF-I-QL,0.0007,(0.0000–0.0029),0.24882851791167337,0.486076
F-LT-QL,0.0015,(0.0001–0.0041),0.9621482836066155,-0.0880455
F-LT-OS-QL,0.0012,(0.0001–0.0035),0.9369558676699575,0.1182745
DF-LT-QL,0.0018,(0.0002–0.0044),0.7879850135276372,-0.3073535
F-I-OS-QL,0.0010,(0.0001–0.0029),0.886784835609217,0.215011
F-I-HV-QL,0.0011,(0.0001–0.0036),0.9621482836066155,0.156868
F-LT-HV-QL,0.0016,(0.0001–0.0050),0.9621482836066155,-0.0536665
DF-I-HV-QL,0.0010,(0.0001–0.0033),0.886784835609217,0.2284
I-HV-QL,0.0005,(0.0000–0.0016),0.07937600115597039,0.595963
LT-HV-QL,0.0008,(0.0001–0.0028),0.6704490339030449,0.344591
DF-I-OS-QL,0.0011,(0.0001–0.0030),0.9621482836066155,0.0831885
DF-LT-HV-QL,0.0020,(0.0002–0.0059),0.7879850135276372,-0.2978455
DF-LT-OS-QL,0.0013,(0.0001–0.0033),1.0,0.0
