model,alpha,alpha_h,alpha_r,gamma,intercept,kappa,kappa_r,tau,theta,theta_h,theta_r,weight,weight_b,weight_h,weight_r
 Long-Term Omission Sensitive Q Learning ,0.018,,,0.083,0.544,,,,0.074,,,0.294,,,
Differential Extinction Immediate Q Learning,0.015,,,,0.482,,,0.009,,,,0.208,,,
Differential Extinction Long-Term Q Learning,0.021,,,0.048,0.578,,,0.022,,,,0.167,,,
Differential Forgetting Immediate Habit-Value Arbiter Q-Learning,,0.097,0.138,,0.495,,0.104,,,0.122,0.182,0.463,0.58,0.999,0.905
Differential Forgetting Immediate Omission Sensitive Q Learning ,0.035,,,,0.487,0.016,,,0.063,,,0.344,,,
Differential Forgetting Immediate Q-Learning,0.017,,,,0.517,0.051,,,,,,0.398,,,
Differential Forgetting Long-Term Habit-Value Arbiter Q-Learning,,0.282,0.081,0.098,0.5,,0.027,,,0.205,0.129,0.472,0.706,0.776,0.85
Differential Forgetting Long-Term Omission Sensitive Q Learning ,0.039,,,0.132,0.513,0.015,,,0.091,,,0.383,,,
Differential Forgetting Long-Term Q Learning,0.042,,,0.067,0.424,0.027,,,,,,0.286,,,
Expected SARSA,0.018,,,0.038,0.541,,,,,,,0.144,,,
Forgetting Immediate Habit-Value Arbiter Q-Learning,,0.314,0.122,,0.498,,,,,0.169,0.122,0.468,0.611,1.007,0.924
Forgetting Immediate Omission Sensitive Q Learning ,0.019,,,,0.502,,,,0.066,,,0.338,,,
Forgetting Immediate Q-Learning,0.019,,,,0.515,,,,,,,0.289,,,
Forgetting Long-Term Habit-Value Arbiter Q-Learning,,0.385,0.076,0.158,0.497,,,,,0.204,0.105,0.513,0.691,0.788,0.925
Forgetting Long-Term Omission Sensitive Q Learning ,0.022,,,0.163,0.492,,,,0.087,,,0.402,,,
Forgetting Long-Term Q Learning,0.024,,,0.109,0.429,,,,,,,0.348,,,
Forgetting RPE-free Q-Learning,0.051,,,,0.249,,,,,,,0.097,,,
Immediate Habit-Value Arbiter Q Learning,,0.019,0.104,,0.503,,,,,0.076,0.198,0.451,0.573,0.616,0.852
Immediate Omission Sensitive Q Learning ,0.007,,,,0.444,,,,0.047,,,0.253,,,
Immediate Q-Learning,0.006,,,,0.456,,,,,,,0.253,,,
Long-Term Habit-Value Arbiter Q-Learning,,0.111,0.114,0.169,0.64,,,,,0.115,0.188,0.469,0.536,0.743,1.038
Long-Term Q Learning,0.021,,,0.037,0.583,,,,,,,0.147,,,
RPE-free Q-Learning,0.245,,,,0.147,,,,,,,0.423,,,
SARSA,0.02,,,0.039,0.495,,,,,,,0.133,,,
