Model,Rank,WAIC,pWAIC,SE,p-val,significance,effect_size,effect,Test Mean,Test SE,Test p-value,Test Significance,Test Effect Size,Test Effect
RF-QL,23,4737.380874767324,1.9386000277767268,30.13091219138578,1.7032867086518407e-14,****,7.671249641557408,^^^,0.5535789941779717,0.03709381184182512,0.1795624380779061,ns,1.1716671896084712,^^^
I-QL,22,4646.981108695689,2.5220106215630698,34.62546404046249,1.1378403292052164e-09,****,6.088766349495722,^^^,0.566471066232823,0.03716312161280132,0.20877068086384262,ns,1.0564437881505697,^^^
DE-I-QL,21,4643.346046592716,4.065227837210908,34.63655159977149,1.535883507520893e-09,****,6.040551500596017,^^^,0.5685732080495008,0.0383910509520967,0.2208131884297151,ns,1.01501552391561,^^^
SARSA,20,4582.40906100848,3.441893544821387,35.70499879911977,1.4789232188594749e-06,****,4.814062767929927,^^^,0.5608641277057099,0.03111111107794364,0.2980959024967772,ns,0.8046121809452887,^^^
ESARSA,19,4562.06593031664,3.7054245155568153,36.08680008889647,8.494431478836175e-05,****,3.9300043783675536,^^^,0.5669084448877759,0.03516455304600336,0.2659603170624771,ns,0.882543198867539,^^^
I-OS-QL,18,4558.2243453028805,2.8981811587973167,36.63406184627421,0.0012075839928162,**,3.2370827268277527,^^^,0.5691657798696741,0.04120068329349687,0.30361462551439433,ns,0.7922837498508231,^^
DE-LT-QL,17,4553.607031416706,4.356412809557067,36.16230519988921,0.0003949925761809,***,3.5434070139113603,^^^,0.5714422277493165,0.038468967964933355,0.27617048264835203,ns,0.8565552507061225,^^^
LT-QL,16,4551.504777130653,3.677734745355652,36.23915234837138,0.0005721849573257,***,3.444467718431516,^^^,0.5713879025079365,0.03835513741272468,0.30496604780260783,ns,0.7893061524616253,^^
F-I-QL,15,4535.540407429029,2.6877889278165368,39.25429098748379,6.54040847958577e-05,****,3.9924138964489466,^^^,0.5775127458215173,0.03876275382639229,0.37596538727244344,ns,0.6520659101776879,^^
LT-OS-QL,14,4534.487898942287,4.142379470904212,37.086269538904496,0.0125598364091374,*,2.4960119674433208,^^^,0.5702049212195187,0.039564203645941994,0.3048046298513408,ns,0.789665783370047,^^
F-RF-QL,13,4526.0667154134935,3.5814270890476,40.08605061761777,0.0001079829705726,***,3.87191644716548,^^^,0.5735469118388683,0.03496366575136356,0.412234056675453,ns,0.5931897787141024,^^
DF-I-QL,12,4520.778474138851,3.4560183599597227,39.17261018140947,0.0003584281898111,***,3.568940221264082,^^^,0.5823277402707214,0.04198683497944355,0.8374717126386338,ns,-0.22722102784844325,^
F-LT-QL,11,4517.938554957613,4.1927641505458,39.88019022942578,0.0001134610273318,***,3.8598405669579545,^^^,0.5812191520785197,0.040468061605041294,0.7242364120076256,ns,-0.15825357902904927,neg
F-LT-OS-QL,10,4509.5030978495815,4.154264894075295,40.09791304168165,0.0009421411753108,***,3.3072578775016,^^^,0.5790916647803097,0.039594420919948865,0.4392941095397911,ns,0.5395598689661952,^^
DF-LT-QL,9,4508.366247284732,5.522368394479241,40.08116219712911,0.0002682071948917,***,3.644216875533989,^^^,0.5868888467350836,0.043701426991290114,,ns,,
F-I-OS-QL,8,4507.969856126795,3.5323766273564736,40.06259963942052,0.0017769487297445,**,3.125182344199577,^^^,0.5772679173185568,0.038335667844394884,0.3855075853776909,ns,0.6359697061859978,^^
F-I-HV-QL,7,4504.069452882919,12.365465268757532,39.84321244441423,0.041233501680844,*,2.041174335968614,^^^,0.5786365617007033,0.038404068116329154,0.5368610325930716,ns,0.4043427022470722,^
F-LT-HV-QL,6,4501.679001299231,9.826688735530768,40.21520492518646,0.0901214733636507,ns,1.694757286441281,^^^,0.5794890356107916,0.03925395438411473,0.5564455606261727,ns,0.17743925179024,neg
DF-I-HV-QL,5,4498.552603392892,9.15303957552148,40.03560339432453,0.0685952564905867,ns,1.8210763187647088,^^^,0.5794387279116118,0.038302877783044406,0.5592778336245584,ns,0.3728566164810768,^
I-HV-QL,4,4493.563855956963,5.930756579478867,40.23928081297325,0.149596876830487,ns,1.4409568385338611,^^^,0.5800535550608231,0.03913231924861899,0.5715845488646011,ns,0.351365195333583,^
LT-HV-QL,3,4493.279118946258,11.564117732788176,39.84759252519098,0.1021425887475721,ns,1.6345539458333385,^^^,0.5825519818996937,0.04218148666423666,0.8624418075317591,ns,-0.25760299579907736,^
DF-I-OS-QL,2,4487.811473853082,4.274277060018122,40.4040876618558,0.3246844417045574,ns,0.9848771028421308,^^^,0.581621395569065,0.04148264271009995,0.8055889241258665,ns,-0.06162958115817409,neg
DF-LT-HV-QL,1,4485.671172769733,9.77148601441409,40.65201199117223,0.8706774470735701,ns,0.1627980456658817,neg,0.585072126382723,0.04241853906772314,0.8790740467074002,ns,-0.8809782245926184,^^^
DF-LT-OS-QL,0,4484.173460916018,5.218600309662495,40.67727118527167,,ns,,^^^,0.5861560554250704,0.04431266098491516,0.9281015391173935,ns,-0.6336722829161735,^^
